"","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.0735962831158561,0.0679324894514768,0.0666303108422983
"bayes_adjusted_85",0.0715007713996914,0.0665786869020125,0.0645281810418446
"bayes_adjusted_90",0.0635502958579881,0.0610197616533414,0.0579013005522893
"bayes_707",0.00258815917178907,0.00206374684705343,0.00235714866292774
"fwe",8.13338755591704e-05,NA,8.17394147457904e-05
"bayes_adjusted_95",0.042,0.0419966844722785,0.0389916199182769
