"","bayes_meta","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.231470502179035,0.199270935960591,0.254193526323889,0.151733184926061
"bayes_adjusted_85",0.230659622158181,0.205829345596918,0.258240188551227,0.155325598411205
"bayes_adjusted_90",0.218800459117172,0.235167669819432,0.265879107432868,0.170264832236663
"bayes_707",0.0920633910386965,0.174218251435865,0.142651181417701,0.129293410322043
"fwe",0.00103902101131378,0.00423764725824222,0.00255990169977473,0.00369685767097967
"bayes_adjusted_95",0.216915698941778,0.237491385251551,0.265565351754227,0.17116388090521
