"","bayes_meta","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.161978040434153,0.0711528262558739,0.120535513218934,0.0593990649917536
"bayes_adjusted_85",0.162509807388417,0.0709118549000079,0.119837218434298,0.0587204091316497
"bayes_adjusted_90",0.161492916556799,0.0699236067988505,0.117147310989867,0.0570564897033818
"bayes_707",0.125617719731733,0.0566776917889599,0.0784071615990122,0.0434485229456405
"fwe",0.0238948184806293,0.0148176881303336,0.0090675459438491,0.010359781561195
"bayes_adjusted_95",0.156378658647969,0.0671814671814672,0.10954522275277,0.0534116232181387
