"","bayes_meta","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.159366241750294,0.204611238646572,0.218973273352739,0.145379654951214
"bayes_adjusted_85",0.153593535888107,0.203454280535911,0.213007359500446,0.145193314320783
"bayes_adjusted_90",0.141105696009747,0.198341862033401,0.198712889320624,0.142061281337047
"bayes_707",0.0243786375782423,0.0597014925373134,0.0381020848310568,0.0395462423192059
"fwe",7.72111338455005e-05,0.000256060088767497,0.000154249575813667,0.000266004610746586
"bayes_adjusted_95",0.112772442348611,0.178864552474382,0.162229911029516,0.129360392993599
