"","bayes_meta","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.162018215625098,0.0711058440115547,0.120488173182028,0.0597475245670333
"bayes_adjusted_85",0.162466256582732,0.0708389653679085,0.119760764410132,0.0589515593895156
"bayes_adjusted_90",0.161499405855029,0.0698434742354541,0.117019477224528,0.0569240624272071
"bayes_707",0.125617719731733,0.0566776917889599,0.0784071615990122,0.0434485229456405
"fwe",0.0238948184806293,0.0148176881303336,0.0090675459438491,0.010359781561195
"bayes_adjusted_95",0.156290458767239,0.0670441158370404,0.109401603566232,0.053564437484429
