"","bayes_meta","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.159308847476027,0.204668820140531,0.219003230761083,0.145314453719036
"bayes_adjusted_85",0.15340411946934,0.203345195729537,0.212876398850222,0.145217265562866
"bayes_adjusted_90",0.14100902274749,0.198266952857938,0.198504150071448,0.142071197411003
"bayes_707",0.0243786375782423,0.0597014925373134,0.0381020848310568,0.0395462423192059
"fwe",7.72111338455005e-05,0.000256060088767497,0.000154249575813667,0.000266004610746586
"bayes_adjusted_95",0.112447834220751,0.178762525537504,0.161924286875685,0.129224652087475
