"","bayes_meta","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.231450668638689,0.199345438772895,0.254216991138331,0.151780919992841
"bayes_adjusted_85",0.230648443383378,0.205976277372263,0.258305484568508,0.155317456995773
"bayes_adjusted_90",0.22774096075267,0.217276833337116,0.262434352795799,0.161963274569588
"bayes_707",0.0920633910386965,0.174218251435865,0.142651181417701,0.129293410322043
"fwe",0.00103902101131378,0.00423764725824222,0.00255990169977473,0.00369685767097967
"bayes_adjusted_95",0.216791681549391,0.237550749855,0.265498406918525,0.171349492577371
