"","bayes_meta","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.230791197981945,0.204221603472279,0.257401417537162,0.154546956988803
"bayes_adjusted_85",0.229303504150969,0.212537391646106,0.261208249271464,0.159498247393135
"bayes_adjusted_90",0.225483113599422,0.224995750673822,0.265148417695642,0.165836298932384
"bayes_707",0.0920633910386965,0.174218251435865,0.142651181417701,0.129293410322043
"fwe",0.00103902101131378,0.00423764725824222,0.00255990169977473,0.00369685767097967
"bayes_adjusted_95",0.210078189213682,0.244092357645361,0.262031955116478,0.173714355349744
