"","bayes_meta","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.162327383876426,0.0709395747758919,0.119892896149194,0.0589373863341128
"bayes_adjusted_85",0.16214930499153,0.0705704245892304,0.118384086690413,0.0580064560305194
"bayes_adjusted_90",0.159799979641694,0.0690474342054188,0.114447309323796,0.0556067972548345
"bayes_707",0.125617719731733,0.0566776917889599,0.0784071615990122,0.0434485229456405
"fwe",0.0238948184806293,0.0148176881303336,0.0090675459438491,0.010359781561195
"bayes_adjusted_95",0.152906074350899,0.0652240579599034,0.105329928055152,0.0516468223287459
