"","bayes_meta","neurosynth","brainmap","neuroquery"
"bayes_adjusted_80",0.155358186280238,0.203860409818868,0.214830310203408,0.145525568181818
"bayes_adjusted_85",0.146361931088953,0.201033081393141,0.205595678468675,0.143872388088525
"bayes_adjusted_90",0.131151476354325,0.19228458633711,0.186164899958114,0.138196448876061
"bayes_707",0.0243786375782423,0.0597014925373134,0.0381020848310568,0.0395462423192059
"fwe",7.72111338455005e-05,0.000256060088767497,0.000154249575813667,0.000266004610746586
"bayes_adjusted_95",0.0999368059944028,0.168189455996639,0.14475109235538,0.121627432011179
